wojewodztwo;powiat;miasto;kod_pocztowy;ulica;typ_ulica
³ódzkie;zgierski;G³owno;95-015;G³owno;Poczta
³ódzkie;zgierski;G³owno;95-016;G³owno;Poczta
pomorskie;s³upski;G³ówczyce;76-220;G³ówczyce;Poczta
wielkopolskie;M. Poznañ;Poznañ;61-056;G³ówieniec;ul.
œl¹skie;M. Chorzów;Chorzów;41-500;G³ówna;Al.
mazowieckie;M. Warszawa;Warszawa;03-113;G³ówna;ul.
lubelskie;M. Lublin;Lublin;20-829;G³ówna;ul.
œl¹skie;M. Sosnowiec;Sosnowiec;41-215;G³ówna;ul.
œl¹skie;M. Chorzów;Chorzów;41-503;G³ówna;ul.
œl¹skie;tarnogórski;Tarnowskie Góry;42-605;G³ówna;ul.
œl¹skie;M. Gliwice;Gliwice;44-109;G³ówna;ul.
opolskie;kêdzierzyñsko-kozielski;Kêdzierzyn-KoŸle;47-200;G³ówna;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;54-061;G³ówna;ul.
mazowieckie;M. Radom;Radom;26-601;G³ówna ;ul.
œl¹skie;M. Ruda Œl¹ska;Ruda Œl¹ska;41-710;G³ówna ;ul.
wielkopolskie;M. Poznañ;Poznañ;61-005;G³ówna ;ul.
wielkopolskie;M. Poznañ;Poznañ;61-007;G³ówna ;ul.
œl¹skie;M. Ruda Œl¹ska;Ruda Œl¹ska;41-711;G³ówna ;ul.
mazowieckie;M. Radom;Radom;26-610;G³ówna ;ul.
wielkopolskie;M. Poznañ;Poznañ;61-019;G³ówna ;ul.
opolskie;g³ubczycki;G³ubczyce;48-100;G³ubczyce;Poczta
opolskie;g³ubczycki;G³ubczyce;48-100;G³ubczyce;Poczta
opolskie;kêdzierzyñsko-kozielski;Kêdzierzyn-KoŸle;47-200;G³ubczycka;ul.
œl¹skie;raciborski;Racibórz;47-400;G³ubczycka;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;52-026;G³ubczycka;ul.
mazowieckie;M. Warszawa;Warszawa;02-417;G³ubczycka ;ul.
mazowieckie;M. Warszawa;Warszawa;02-424;G³ubczycka ;ul.
mazowieckie;M. Warszawa;Warszawa;03-807;G³ucha;ul.
mazowieckie;M. Warszawa;Warszawa/Weso³a;05-075;G³ucha;ul.
mazowieckie;M. Radom;Radom;26-606;G³ucha;ul.
œl¹skie;M. Rybnik;Rybnik;44-210;G³ucha;ul.
zachodniopomorskie;M. Szczecin;Szczecin;70-710;G³ucha;ul.
pomorskie;M. Gdañsk;Gdañsk;80-053;G³ucha;ul.
kujawsko-pomorskie;M. Bydgoszcz;Bydgoszcz;85-404;G³ucha;ul.
³ódzkie;M. £ódŸ;£ódŸ;91-318;G³ucha;ul.
œl¹skie;M. Jaworzno;Jaworzno;43-602;G³ucha Jana;ul.
opolskie;nyski;G³ucho³azy;48-340;G³ucho³azy;Poczta
opolskie;nyski;G³ucho³azy;48-340;G³ucho³azy;Poczta
wielkopolskie;M. Poznañ;Poznañ;60-101;G³uchowska;ul.
³ódzkie;skierniewicki;G³uchów;96-130;G³uchów;Poczta
lubelskie;M. Lublin;Lublin;20-439;G³uska ;ul.
lubelskie;M. Lublin;Lublin;20-380;G³uska ;ul.
lubelskie;M. Lublin;Lublin;20-385;G³uska ;ul.
mazowieckie;M. Warszawa;Warszawa;02-859;G³uszca;ul.
zachodniopomorskie;M. Szczecin;Szczecin;70-887;G³uszcowa;ul.
kujawsko-pomorskie;M. Bydgoszcz;Bydgoszcz;85-430;G³uszcowa;ul.
œl¹skie;M. Katowice;Katowice;40-668;G³uszców;ul.
lubelskie;M. Lublin;Lublin;20-388;G³uszczyzna (wieœ);ul.
dolnoœl¹skie;wa³brzyski;G³uszyca;58-340;G³uszyca;Poczta
mazowieckie;M. Warszawa;Warszawa;02-215;G³uszycka;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;54-046;G³uszycka;ul.
opolskie;namys³owski;G³uszyna;46-134;G³uszyna;Poczta
wielkopolskie;M. Poznañ;Poznañ;61-332;G³uszyna ;ul.
wielkopolskie;M. Poznañ;Poznañ;61-329;G³uszyna ;ul.
podlaskie;M. Bia³ystok;Bia³ystok;15-587;Gminna;ul.
lubelskie;M. Lublin;Lublin;20-010;Gminna;ul.
ma³opolskie;M. Kraków;Kraków;30-653;Gminna;ul.
œl¹skie;M. Katowice;Katowice;40-855;Gminna;ul.
œl¹skie;zawierciañski;Zawiercie;42-400;Gminna;ul.
œl¹skie;M. Jaworzno;Jaworzno;43-605;Gminna;ul.
œl¹skie;M. Rybnik;Rybnik;44-213;Gminna;ul.
opolskie;M. Opole;Opole;45-128;Gminna;ul.
opolskie;kêdzierzyñsko-kozielski;Kêdzierzyn-KoŸle;47-206;Gminna;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;54-109;Gminna;ul.
wielkopolskie;M. Poznañ;Poznañ;61-313;Gminna;ul.
kujawsko-pomorskie;M. Bydgoszcz;Bydgoszcz;85-353;Gminna;ul.
³ódzkie;M. £ódŸ;£ódŸ;92-622;Gminna;ul.
mazowieckie;M. Warszawa;Warszawa;03-637;Gniazdowska;ul.
dolnoœl¹skie;wroc³awski;Gniechowice;55-042;Gniechowice;Poczta
pomorskie;tczewski;Gniew;83-140;Gniew;Poczta
podkarpackie;przeworski;Gniewczyna £añcucka;37-203;Gniewczyna £añcucka;Poczta
pomorskie;wejherowski;Gniewino;84-250;Gniewino;Poczta
wielkopolskie;M. Poznañ;Poznañ;61-063;Gniewka;ul.
kujawsko-pomorskie;inowroc³awski;Gniewkowo;88-140;Gniewkowo;Poczta
mazowieckie;M. Warszawa;Warszawa;01-253;Gniewkowska;ul.
kujawsko-pomorskie;M. Bydgoszcz;Bydgoszcz;85-182;Gniewkowska;ul.
mazowieckie;kozienicki;Gniewoszów;26-920;Gniewoszów;Poczta
wielkopolskie;M. Poznañ;Poznañ;60-454;Gniewska;ul.
pomorskie;M. Gdynia;Gdynia;81-053;Gniewska ;ul.
pomorskie;M. Gdynia;Gdynia;81-047;Gniewska ;ul.
wielkopolskie;gnieŸnieñski;Gniezno;62-200;Gniezno;Poczta
wielkopolskie;gnieŸnieñski;Gniezno;62-210;Gniezno;Poczta
wielkopolskie;gnieŸnieñski;Gniezno;62-204;Gniezno;Poczta
wielkopolskie;gnieŸnieñski;Gniezno;62-206;Gniezno;Poczta
wielkopolskie;gnieŸnieñski;Gniezno;62-200;Gniezno;Poczta
wielkopolskie;gnieŸnieñski;Gniezno;62-204;Gniezno;Poczta
mazowieckie;M. Warszawa;Warszawa;01-987;GnieŸnieñska;ul.
lubelskie;M. Lublin;Lublin;20-830;GnieŸnieñska;ul.
mazowieckie;M. Radom;Radom;26-604;GnieŸnieñska;ul.
ma³opolskie;M. Kraków;Kraków;31-317;GnieŸnieñska;ul.
œl¹skie;M. Katowice;Katowice;40-143;GnieŸnieñska;ul.
œl¹skie;M. Chorzów;Chorzów;41-506;GnieŸnieñska;ul.
œl¹skie;M. Zabrze;Zabrze;41-808;GnieŸnieñska;ul.
œl¹skie;M. Gliwice;Gliwice;44-164;GnieŸnieñska;ul.
œl¹skie;raciborski;Racibórz;47-400;GnieŸnieñska;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;53-633;GnieŸnieñska;ul.
zachodniopomorskie;M. Szczecin;Szczecin;70-024;GnieŸnieñska;ul.
zachodniopomorskie;M. Koszalin;Koszalin;75-736;GnieŸnieñska;ul.
pomorskie;M. Gdañsk;Gdañsk;80-299;GnieŸnieñska;ul.
kujawsko-pomorskie;M. Bydgoszcz;Bydgoszcz;85-313;GnieŸnieñska;ul.
wielkopolskie;M. Poznañ;Poznañ;61-015;GnieŸnieñska ;ul.
³ódzkie;M. £ódŸ;£ódŸ;91-046;GnieŸnieñska ;ul.
wielkopolskie;M. Poznañ;Poznañ;61-021;GnieŸnieñska ;ul.
³ódzkie;M. £ódŸ;£ódŸ;91-048;GnieŸnieñska ;ul.
pomorskie;M. Gdañsk;Gdañsk;80-847;Gnilna;ul.
œl¹skie;miko³owski;Miko³ów;43-190;Gniotek;ul.
podkarpackie;ropczycko-sêdziszowski;Gnojnica;39-105;Gnojnica;Poczta
ma³opolskie;brzeski;Gnojnik;32-864;Gnojnik;Poczta
œwiêtokrzyskie;buski;Gnojno;28-114;Gnojno;Poczta
mazowieckie;M. Warszawa;Warszawa;03-810;Goc³awska;ul.
zachodniopomorskie;M. Szczecin;Szczecin;71-738;Goc³awska;ul.
œl¹skie;pszczyñski;Gocza³kowice-Zdrój;43-230;Gocza³kowice-Zdrój;Poczta
mazowieckie;M. Warszawa;Warszawa;02-980;Gocza³kowicka;ul.
mazowieckie;M. Warszawa;Warszawa;02-912;Godebskiego Cypriana;ul.
mazowieckie;M. Warszawa;Warszawa/Weso³a;05-075;Godebskiego Cypriana;ul.
lubelskie;M. Lublin;Lublin;20-045;Godebskiego Cypriana;ul.
ma³opolskie;M. Kraków;Kraków;31-999;Godebskiego Cypriana;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;51-691;Godebskiego Cypriana;ul.
pomorskie;M. Gdynia;Gdynia;81-134;Godebskiego Cypriana;ul.
warmiñsko-mazurskie;elbl¹ski;Godkowo;14-407;Godkowo;Poczta
mazowieckie;M. Warszawa;Warszawa;04-884;Godlewska;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;54-609;Godlewskiego Aleksandra;ul.
ma³opolskie;M. Kraków;Kraków;30-198;Godlewskiego Emila;ul.
³ódzkie;M. £ódŸ;£ódŸ;93-427;Godna;ul.
mazowieckie;M. Radom;Radom;26-606;Godowska;ul.
œl¹skie;wodzis³awski;Godów;44-340;Godów;Poczta
œl¹skie;raciborski;Racibórz;47-400;Goduli Franciszka;ul.
œl¹skie;M. Ruda Œl¹ska;Ruda Œl¹ska;41-712;Goduli Karola;ul.
œl¹skie;M. Gliwice;Gliwice;44-103;Goduli Karola;ul.
œl¹skie;M. Bytom;Bytom;41-907;Godulska;ul.
³ódzkie;skierniewicki;Godzianów;96-126;Godzianów;Poczta
wielkopolskie;kaliski;Godziesze Ma³e;62-872;Godziesze Ma³e;Poczta
pomorskie;starogardzki;Godziszewo;83-209;Godziszewo;Poczta
œl¹skie;bielski;Godziszka;43-376;Godziszka;Poczta
œl¹skie;bielski;Godziszka;43-376;Godziszka;Poczta
mazowieckie;M. Warszawa;Warszawa;04-882;Godziszowska;ul.
lubelskie;janowski;Godziszów;23-302;Godziszów;Poczta
œl¹skie;M. Zabrze;Zabrze;41-800;Goethego Johanna;ul.
ma³opolskie;M. Kraków;Kraków;30-065;Goetla Walerego;ul.
œl¹skie;M. Katowice;Katowice;40-749;Goetla Walerego;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;52-216;Goetla Walerego;ul.
podlaskie;M. Bia³ystok;Bia³ystok;15-166;Gogola Miko³aja;ul.
œl¹skie;M. Zabrze;Zabrze;41-807;Gogola Miko³aja;ul.
œl¹skie;M. Rybnik;Rybnik;44-200;Gogola Miko³aja;ul.
³ódzkie;M. £ódŸ;£ódŸ;92-513;Gogola Miko³aja;ul.
wielkopolskie;M. Poznañ;Poznañ;60-461;Gogola Niko³aja;ul.
opolskie;krapkowicki;Gogolin;47-320;Gogolin;Poczta
opolskie;krapkowicki;Gogolin;47-320;Gogolin;Poczta
mazowieckie;M. Warszawa;Warszawa;02-872;Gogoliñska;ul.
œl¹skie;M. Zabrze;Zabrze;41-807;Gogoliñska;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;52-019;Gogoliñska;ul.
kujawsko-pomorskie;M. Bydgoszcz;Bydgoszcz;85-406;Gogoliñska;ul.
podkarpackie;strzy¿owski;Gogo³ów;38-131;Gogo³ów;Poczta
mazowieckie;M. Warszawa;Warszawa;01-773;Gojawiczyñskiej Poli;ul.
lubelskie;M. Lublin;Lublin;20-827;Gojawiczyñskiej Poli;ul.
mazowieckie;M. Radom;Radom;26-604;Gojawiczyñskiej Poli;ul.
œl¹skie;M. Mys³owice;Mys³owice;41-400;Gojawiczyñskiej Poli;ul.
œl¹skie;M. Ruda Œl¹ska;Ruda Œl¹ska;41-706;Gojawiczyñskiej Poli;ul.
œl¹skie;M. Jaworzno;Jaworzno;43-600;Gojawiczyñskiej Poli;ul.
œl¹skie;M. Gliwice;Gliwice;44-109;Gojawiczyñskiej Poli;ul.
opolskie;M. Opole;Opole;45-533;Gojawiczyñskiej Poli;ul.
opolskie;kêdzierzyñsko-kozielski;Kêdzierzyn-KoŸle;47-230;Gojawiczyñskiej Poli;ul.
zachodniopomorskie;M. Szczecin;Szczecin;70-787;Gojawiczyñskiej Poli;ul.
pomorskie;M. Gdañsk;Gdañsk;80-286;Gojawiczyñskiej Poli;ul.
pomorskie;M. Gdynia;Gdynia;81-596;Gojawiczyñskiej Poli;ul.
³ódzkie;M. £ódŸ;£ódŸ;93-249;Gojawiczyñskiej Poli ;ul.
³ódzkie;M. £ódŸ;£ódŸ;93-253;Gojawiczyñskiej Poli ;ul.
œl¹skie;pszczyñski;Golasowice;43-252;Golasowice;Poczta
œl¹skie;pszczyñski;Golasowice;43-252;Golasowice;Poczta
podkarpackie;brzozowski;Golcowa;36-231;Golcowa;Poczta
zachodniopomorskie;kamieñski;Golczewo;72-410;Golczewo;Poczta
mazowieckie;M. Warszawa;Warszawa;01-913;Goldoniego Carla;ul.
œl¹skie;M. Rybnik;Rybnik;44-207;Golejowska;ul.
zachodniopomorskie;myœliborski;Golenice;74-312;Golenice;Poczta
wielkopolskie;M. Poznañ;Poznañ;60-184;Goleniowska;ul.
zachodniopomorskie;M. Szczecin;Szczecin;70-830;Goleniowska ;ul.
zachodniopomorskie;M. Szczecin;Szczecin;70-840;Goleniowska ;ul.
zachodniopomorskie;M. Szczecin;Szczecin;70-847;Goleniowska ;ul.
zachodniopomorskie;goleniowski;Goleniów;72-101;Goleniów;Poczta
zachodniopomorskie;goleniowski;Goleniów;72-100;Goleniów;Poczta
zachodniopomorskie;goleniowski;Goleniów;72-102;Goleniów;Poczta
zachodniopomorskie;goleniowski;Goleniów;72-100;Goleniów;Poczta
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;52-340;Goleszan;ul.
mazowieckie;M. Warszawa;Warszawa;01-249;Goleszowska;ul.
wielkopolskie;M. Poznañ;Poznañ;61-434;Goleszowska;ul.
œl¹skie;cieszyñski;Goleszów;43-440;Goleszów;Poczta
wielkopolskie;M. Poznañ;Poznañ;60-626;Golêciñska;ul.
zachodniopomorskie;M. Szczecin;Szczecin;71-822;Golêciñska;ul.
mazowieckie;M. Warszawa;Warszawa;03-302;Golêdzinowska;ul.
mazowieckie;M. Warszawa;Warszawa;03-312;Golêdzinów;ul.
mazowieckie;M. Warszawa;Warszawa/Weso³a;05-077;Golfowa;ul.
ma³opolskie;M. Kraków;Kraków;30-723;Golikówka ;ul.
ma³opolskie;M. Kraków;Kraków;30-738;Golikówka ;ul.
wielkopolskie;koniñski;Golina;62-590;Golina;Poczta
œl¹skie;M. Sosnowiec;Sosnowiec;41-200;Golisa Antoniego;ul.
zachodniopomorskie;M. Szczecin;Szczecin;71-682;Golisza Maksymiliana;ul.
zachodniopomorskie;M. Koszalin;Koszalin;75-362;Golisza Maksymiliana;ul.
ma³opolskie;M. Kraków;Kraków;30-699;Golkowicka;ul.
opolskie;kêdzierzyñsko-kozielski;Kêdzierzyn-KoŸle;47-206;Goltberga Artura;ul.
kujawsko-pomorskie;golubsko-dobrzyñski;Golub-Dobrzyñ;87-400;Golub-Dobrzyñ;Poczta
kujawsko-pomorskie;golubsko-dobrzyñski;Golub-Dobrzyñ;87-401;Golub-Dobrzyñ;Poczta
kujawsko-pomorskie;golubsko-dobrzyñski;Golub-Dobrzyñ;87-400;Golub-Dobrzyñ;Poczta
kujawsko-pomorskie;golubsko-dobrzyñski;Golub-Dobrzyñ;87-401;Golub-Dobrzyñ;Poczta
kujawsko-pomorskie;M. Bydgoszcz;Bydgoszcz;85-145;Golubska;ul.
wielkopolskie;w¹growiecki;Go³añcz;62-130;Go³añcz;Poczta
mazowieckie;M. Radom;Radom;26-604;Go³aszewskiego Czes³awa;ul.
ma³opolskie;M. Kraków;Kraków;30-619;Go³aœka;ul.
mazowieckie;M. Warszawa;Warszawa;03-550;Go³awicka;ul.
lubelskie;pu³awski;Go³¹b;24-101;Go³¹b;Poczta
ma³opolskie;M. Kraków;Kraków;30-698;Go³¹ba Stanis³awa;ul.
œl¹skie;M. Bytom;Bytom;41-923;Go³¹bka Paw³a;ul.
œl¹skie;M. Katowice;Katowice;40-558;Go³by Kazimierza;ul.
ma³opolskie;miechowski;Go³cza;32-075;Go³cza;Poczta
warmiñsko-mazurskie;go³dapski;Go³dap;19-500;Go³dap;Poczta
warmiñsko-mazurskie;go³dapski;Go³dap;19-501;Go³dap;Poczta
warmiñsko-mazurskie;go³dapski;Go³dap;19-500;Go³dap;Poczta
mazowieckie;M. Warszawa;Warszawa;03-194;Go³dapska;ul.
podlaskie;M. Bia³ystok;Bia³ystok;15-861;Go³dapska;ul.
wielkopolskie;M. Poznañ;Poznañ;60-461;Go³dapska;ul.
warmiñsko-mazurskie;M. Olsztyn;Olsztyn;10-631;Go³dapska ;ul.
warmiñsko-mazurskie;M. Olsztyn;Olsztyn;10-633;Go³dapska ;ul.
warmiñsko-mazurskie;M. Olsztyn;Olsztyn;10-634;Go³dapska ;ul.
warmiñsko-mazurskie;M. Olsztyn;Olsztyn;10-632;Go³dapska ;ul.
œl¹skie;M. Ruda Œl¹ska;Ruda Œl¹ska;41-710;Go³êbi;ul.
mazowieckie;M. Warszawa;Warszawa;03-662;Go³êbia;ul.
podlaskie;M. Bia³ystok;Bia³ystok;15-336;Go³êbia;ul.
mazowieckie;M. Radom;Radom;26-610;Go³êbia;ul.
ma³opolskie;M. Kraków;Kraków;31-007;Go³êbia;ul.
podkarpackie;M. Rzeszów;Rzeszów;35-205;Go³êbia;ul.
œl¹skie;M. Katowice;Katowice;40-668;Go³êbia;ul.
œl¹skie;M. Siemianowice Œl¹skie;Siemianowice Œl¹skie;41-100;Go³êbia;ul.
œl¹skie;M. Sosnowiec;Sosnowiec;41-218;Go³êbia;ul.
œl¹skie;M. Chorzów;Chorzów;41-500;Go³êbia;ul.
œl¹skie;M. Zabrze;Zabrze;41-800;Go³êbia;ul.
œl¹skie;zawierciañski;Zawiercie;42-400;Go³êbia;ul.
œl¹skie;miko³owski;Miko³ów;43-190;Go³êbia;ul.
œl¹skie;M. Jaworzno;Jaworzno;43-600;Go³êbia;ul.
œl¹skie;M. Rybnik;Rybnik;44-218;Go³êbia;ul.
opolskie;M. Opole;Opole;45-626;Go³êbia;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;51-419;Go³êbia;ul.
wielkopolskie;M. Poznañ;Poznañ;61-834;Go³êbia;ul.
zachodniopomorskie;M. Szczecin;Szczecin;71-696;Go³êbia;ul.
zachodniopomorskie;M. Koszalin;Koszalin;75-669;Go³êbia;ul.
pomorskie;M. Gdañsk;Gdañsk;80-455;Go³êbia;ul.
pomorskie;M. Gdynia;Gdynia;81-185;Go³êbia;ul.
kujawsko-pomorskie;M. Bydgoszcz;Bydgoszcz;85-309;Go³êbia;ul.
³ódzkie;M. £ódŸ;£ódŸ;90-340;Go³êbia;ul.
warmiñsko-mazurskie;M. Olsztyn;Olsztyn;11-041;Go³êbia (Gutkowo);ul.
mazowieckie;M. Radom;Radom;26-615;Go³êbiowska ;ul.
mazowieckie;M. Radom;Radom;26-613;Go³êbiowska ;ul.
mazowieckie;M. Warszawa;Warszawa;01-504;Go³êbiowskiego £ukasza;ul.
œl¹skie;M. Œwiêtoch³owice;Œwiêtoch³owice;41-608;Go³êszyców;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;54-152;Go³ê¿ycka;ul.
wielkopolskie;M. Poznañ;Poznañ;61-351;Go³ê¿ycka ;ul.
wielkopolskie;M. Poznañ;Poznañ;61-357;Go³ê¿ycka ;ul.
œl¹skie;wodzis³awski;Go³kowice;44-341;Go³kowice;Poczta
ma³opolskie;nowos¹decki;Go³kowice Dolne;33-388;Go³kowice Dolne;Poczta
mazowieckie;M. Warszawa;Warszawa;02-905;Go³kowska;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;54-315;Go³nowska;ul.
pomorskie;kartuski;Go³ubie;83-316;Go³ubie;Poczta
wielkopolskie;M. Poznañ;Poznañ;60-461;Go³ubiewa Antoniego;ul.
mazowieckie;M. Warszawa;Warszawa;01-485;Go³uchowska;ul.
wielkopolskie;M. Poznañ;Poznañ;61-417;Go³uchowska;ul.
wielkopolskie;pleszewski;Go³uchów;63-322;Go³uchów;Poczta
pomorskie;M. Gdañsk;Gdañsk;80-178;Go³uñska;ul.
œl¹skie;M. Zabrze;Zabrze;41-803;Go³y Feliksa;ul.
mazowieckie;ciechanowski;Go³ymin-Oœrodek;06-420;Go³ymin-Oœrodek;Poczta
mazowieckie;M. Warszawa;Warszawa;01-682;Gombrowicza Witolda;ul.
ma³opolskie;M. Kraków;Kraków;30-699;Gombrowicza Witolda;ul.
œl¹skie;M. Bytom;Bytom;41-936;Gombrowicza Witolda;ul.
opolskie;M. Opole;Opole;45-533;Gombrowicza Witolda;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;54-622;Gombrowicza Witolda;ul.
wielkopolskie;M. Poznañ;Poznañ;60-461;Gombrowicza Witolda;ul.
zachodniopomorskie;M. Szczecin;Szczecin;70-785;Gombrowicza Witolda;ul.
³ódzkie;M. £ódŸ;£ódŸ;93-405;Gombrowicza Witolda;ul.
opolskie;M. Opole;Opole;45-561;Gomo³ów;ul.
mazowieckie;M. Warszawa;Warszawa;01-604;Gomó³ki Miko³aja;ul.
œwiêtokrzyskie;M. Kielce;Kielce;25-456;Gomó³ki Miko³aja;ul.
pomorskie;M. Gdañsk;Gdañsk;80-279;Gomó³ki Miko³aja;ul.
mazowieckie;M. Warszawa;Warszawa;00-232;Gomulickiego Wiktora;ul.
pomorskie;M. Gdañsk;Gdañsk;80-270;Gomulickiego Wiktora;ul.
œl¹skie;M. Gliwice;Gliwice;44-121;Gomu³ki W³adys³awa;ul.
³ódzkie;radomszczañski;Gomunice;97-545;Gomunice;Poczta
podlaskie;moniecki;Goni¹dz;19-110;Goni¹dz;Poczta
mazowieckie;M. Warszawa;Warszawa;04-273;Gontarska;ul.
œl¹skie;M. Rybnik;Rybnik;44-207;Gontowa;ul.
³ódzkie;M. £ódŸ;£ódŸ;93-352;Gontowa;ul.
ma³opolskie;M. Kraków;Kraków;30-203;Gontyna;ul.
zachodniopomorskie;M. Szczecin;Szczecin;71-623;Gontyny;ul.
³ódzkie;M. £ódŸ;£ódŸ;91-493;Gontyny;ul.
mazowieckie;M. Warszawa;Warszawa;01-994;Gonzagi Marii Ludwiki;ul.
lubelskie;M. Lublin;Lublin;20-828;Goplan;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;52-340;Goplan;ul.
ma³opolskie;M. Kraków;Kraków;30-411;Goplana;ul.
œl¹skie;M. Gliwice;Gliwice;44-100;Goplany;ul.
lubuskie;M. Zielona Góra;Zielona Góra;65-337;Goplany;ul.
pomorskie;M. Gdynia;Gdynia;81-524;Goplany;ul.
³ódzkie;M. £ódŸ;£ódŸ;93-453;Goplany;ul.
mazowieckie;M. Warszawa;Warszawa;02-954;Goplañska;ul.
wielkopolskie;M. Poznañ;Poznañ;61-051;Goplañska;ul.
zachodniopomorskie;M. Szczecin;Szczecin;70-845;Goplañska;ul.
pomorskie;M. Gdañsk;Gdañsk;80-178;Goplañska;ul.
kujawsko-pomorskie;M. Bydgoszcz;Bydgoszcz;85-143;Goplañska;ul.
³ódzkie;M. £ódŸ;£ódŸ;91-463;Goplañska;ul.
lubelskie;bi³gorajski;Goraj;23-450;Goraj;Poczta
lubuskie;miêdzyrzecki;Goraj;66-342;Goraj;Poczta
mazowieckie;M. Warszawa;Warszawa;04-941;Gorajska;ul.
wielkopolskie;M. Poznañ;Poznañ;60-427;Gorajska;ul.
mazowieckie;M. Warszawa;Warszawa;02-910;Goraszewska;ul.
³ódzkie;M. £ódŸ;£ódŸ;92-008;Gorce;ul.
lubelskie;M. Lublin;Lublin;20-868;Gorczañska;ul.
œl¹skie;M. Bielsko-Bia³a;Bielsko-Bia³a;43-300;Gorczañska;ul.
kujawsko-pomorskie;M. Bydgoszcz;Bydgoszcz;85-790;Gorczañska;ul.
wielkopolskie;M. Poznañ;Poznañ;61-680;Gorczycowa;ul.
pomorskie;M. Gdynia;Gdynia;81-591;Gorczycowa;ul.
wielkopolskie;M. Poznañ;Poznañ;60-554;Gorczyczewskiego Jana;ul.
ma³opolskie;M. Kraków;Kraków;30-698;Gorczyna Jana Aleksandra;ul.
kujawsko-pomorskie;M. Bydgoszcz;Bydgoszcz;85-796;Gordona Wincentego;ul.
ma³opolskie;olkuski;Gorenice;32-327;Gorenice;Poczta
podlaskie;M. Bia³ystok;Bia³ystok;15-166;Gorkiego Maksyma;ul.
œl¹skie;M. Bielsko-Bia³a;Bielsko-Bia³a;43-300;Gorkiego Maksyma;ul.
œl¹skie;M. Gliwice;Gliwice;44-113;Gorkiego Maksyma;ul.
zachodniopomorskie;M. Szczecin;Szczecin;70-390;Gorkiego Maksyma;ul.
³ódzkie;M. £ódŸ;£ódŸ;92-525;Gorkiego Maksyma ;ul.
³ódzkie;M. £ódŸ;£ódŸ;92-524;Gorkiego Maksyma ;ul.
³ódzkie;M. £ódŸ;£ódŸ;92-521;Gorkiego Maksyma ;ul.
³ódzkie;M. £ódŸ;£ódŸ;92-519;Gorkiego Maksyma ;ul.
³ódzkie;M. £ódŸ;£ódŸ;92-518;Gorkiego Maksyma ;ul.
³ódzkie;M. £ódŸ;£ódŸ;92-517;Gorkiego Maksyma ;ul.
³ódzkie;M. £ódŸ;£ódŸ;92-520;Gorkiego Maksyma ;ul.
³ódzkie;M. £ódŸ;£ódŸ;92-542;Gorkiego Maksyma ;ul.
³ódzkie;M. £ódŸ;£ódŸ;92-541;Gorkiego Maksyma od nr 2 do nr 12;ul.
ma³opolskie;gorlicki;Gorlice;38-302;Gorlice;Poczta
ma³opolskie;gorlicki;Gorlice;38-300;Gorlice;Poczta
ma³opolskie;gorlicki;Gorlice;38-320;Gorlice;Poczta
ma³opolskie;gorlicki;Gorlice;38-302;Gorlice;Poczta
ma³opolskie;gorlicki;Gorlice;38-300;Gorlice;Poczta
ma³opolskie;gorlicki;Gorlice;38-320;Gorlice;Poczta
mazowieckie;M. Warszawa;Warszawa;02-130;Gorlicka;ul.
podkarpackie;M. Rzeszów;Rzeszów;35-504;Gorlicka;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;51-314;Gorlicka;ul.
wielkopolskie;M. Poznañ;Poznañ;61-308;Gorlicka;ul.
zachodniopomorskie;M. Szczecin;Szczecin;71-042;Gorlicka;ul.
mazowieckie;M. Warszawa;Warszawa;02-829;Goryczkowa;ul.
ma³opolskie;M. Kraków;Kraków;30-427;Goryczkowa;ul.
³ódzkie;M. £ódŸ;£ódŸ;92-737;Goryczkowa;ul.
dolnoœl¹skie;k³odzki;Gorzanów;57-521;Gorzanów;Poczta
œl¹skie;M. Zabrze;Zabrze;41-806;Gorzawskiego Karola;ul.
mazowieckie;M. Warszawa;Warszawa;04-212;Gorzelnicza;ul.
mazowieckie;M. Warszawa;Warszawa;02-162;Gorzkiewki;ul.
³ódzkie;piotrkowski;Gorzkowice;97-350;Gorzkowice;Poczta
lubelskie;krasnostawski;Gorzków;22-315;Gorzków;Poczta
œl¹skie;M. Gliwice;Gliwice;44-100;Gorzo³ki Wiktora;ul.
opolskie;M. Opole;Opole;45-627;Gorzo³ki Wiktora;ul.
